"Plot Title: Win_Ethan_Allen_Park"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 20571737, SEN S/N: 20571737)","Coupler Detached (LGR S/N: 20571737)","Coupler Attached (LGR S/N: 20571737)","Stopped (LGR S/N: 20571737)","End Of File (LGR S/N: 20571737)"
377,04/28/21 06:00:00 AM,8.045,,,,
378,04/28/21 07:00:00 AM,8.020,,,,
379,04/28/21 08:00:00 AM,7.945,,,,
380,04/28/21 09:00:00 AM,7.870,,,,
381,04/28/21 10:00:00 AM,7.795,,,,
382,04/28/21 11:00:00 AM,7.745,,,,
383,04/28/21 12:00:00 PM,7.745,,,,
384,04/28/21 01:00:00 PM,7.795,,,,
385,04/28/21 02:00:00 PM,7.970,,,,
386,04/28/21 03:00:00 PM,8.245,,,,
387,04/28/21 04:00:00 PM,8.593,,,,
388,04/28/21 05:00:00 PM,8.866,,,,
389,04/28/21 06:00:00 PM,9.089,,,,
390,04/28/21 07:00:00 PM,9.213,,,,
391,04/28/21 08:00:00 PM,9.238,,,,
392,04/28/21 09:00:00 PM,9.238,,,,
393,04/28/21 10:00:00 PM,9.188,,,,
394,04/28/21 11:00:00 PM,9.163,,,,
395,04/29/21 12:00:00 AM,9.188,,,,
396,04/29/21 01:00:00 AM,9.262,,,,
397,04/29/21 02:00:00 AM,9.361,,,,
398,04/29/21 03:00:00 AM,9.485,,,,
399,04/29/21 04:00:00 AM,9.558,,,,
400,04/29/21 05:00:00 AM,9.534,,,,
401,04/29/21 06:00:00 AM,9.435,,,,
402,04/29/21 07:00:00 AM,9.336,,,,
403,04/29/21 08:00:00 AM,9.238,,,,
404,04/29/21 09:00:00 AM,9.188,,,,
405,04/29/21 10:00:00 AM,9.163,,,,
406,04/29/21 11:00:00 AM,9.163,,,,
407,04/29/21 12:00:00 PM,9.188,,,,
408,04/29/21 01:00:00 PM,9.213,,,,
409,04/29/21 02:00:00 PM,9.287,,,,
410,04/29/21 03:00:00 PM,9.410,,,,
411,04/29/21 04:00:00 PM,9.558,,,,
412,04/29/21 05:00:00 PM,9.682,,,,
413,04/29/21 06:00:00 PM,9.780,,,,
414,04/29/21 07:00:00 PM,9.829,,,,
415,04/29/21 08:00:00 PM,9.903,,,,
416,04/29/21 09:00:00 PM,9.952,,,,
417,04/29/21 10:00:00 PM,9.952,,,,
418,04/29/21 11:00:00 PM,9.977,,,,
419,04/30/21 12:00:00 AM,9.977,,,,
420,04/30/21 01:00:00 AM,9.952,,,,
421,04/30/21 02:00:00 AM,9.879,,,,
422,04/30/21 03:00:00 AM,9.780,,,,
423,04/30/21 04:00:00 AM,9.706,,,,
424,04/30/21 05:00:00 AM,9.632,,,,
425,04/30/21 06:00:00 AM,9.583,,,,
426,04/30/21 07:00:00 AM,9.583,,,,
427,04/30/21 08:00:00 AM,9.608,,,,
428,04/30/21 09:00:00 AM,9.632,,,,
429,04/30/21 10:00:00 AM,9.657,,,,
430,04/30/21 11:00:00 AM,9.682,,,,
431,04/30/21 12:00:00 PM,9.682,,,,
432,04/30/21 01:00:00 PM,9.682,,,,
433,04/30/21 02:00:00 PM,9.682,,,,
434,04/30/21 03:00:00 PM,9.682,,,,
435,04/30/21 04:00:00 PM,9.657,,,,
436,04/30/21 05:00:00 PM,9.632,,,,
437,04/30/21 06:00:00 PM,9.534,,,,
438,04/30/21 07:00:00 PM,9.410,,,,
439,04/30/21 08:00:00 PM,9.336,,,,
440,04/30/21 09:00:00 PM,9.262,,,,
441,04/30/21 10:00:00 PM,9.188,,,,
442,04/30/21 11:00:00 PM,9.089,,,,
443,05/01/21 12:00:00 AM,8.965,,,,
444,05/01/21 01:00:00 AM,8.866,,,,
445,05/01/21 02:00:00 AM,8.817,,,,
446,05/01/21 03:00:00 AM,8.742,,,,
447,05/01/21 04:00:00 AM,8.668,,,,
448,05/01/21 05:00:00 AM,8.593,,,,
449,05/01/21 06:00:00 AM,8.494,,,,
450,05/01/21 07:00:00 AM,8.419,,,,
451,05/01/21 08:00:00 AM,8.344,,,,
452,05/01/21 09:00:00 AM,8.220,,,,
453,05/01/21 10:00:00 AM,8.045,,,,
454,05/01/21 11:00:00 AM,7.770,,,,
455,05/01/21 12:00:00 PM,7.544,,,,
456,05/01/21 01:00:00 PM,7.393,,,,
457,05/01/21 02:00:00 PM,7.368,,,,
458,05/01/21 03:00:00 PM,7.368,,,,
459,05/01/21 04:00:00 PM,7.393,,,,
460,05/01/21 05:00:00 PM,7.469,,,,
461,05/01/21 06:00:00 PM,7.544,,,,
462,05/01/21 07:00:00 PM,7.594,,,,
463,05/01/21 08:00:00 PM,7.695,,,,
464,05/01/21 09:00:00 PM,7.770,,,,
465,05/01/21 10:00:00 PM,7.770,,,,
466,05/01/21 11:00:00 PM,7.870,,,,
467,05/02/21 12:00:00 AM,7.895,,,,
468,05/02/21 01:00:00 AM,7.870,,,,
469,05/02/21 02:00:00 AM,7.845,,,,
470,05/02/21 03:00:00 AM,7.870,,,,
471,05/02/21 04:00:00 AM,7.995,,,,
472,05/02/21 05:00:00 AM,8.095,,,,
473,05/02/21 06:00:00 AM,8.170,,,,
474,05/02/21 07:00:00 AM,8.195,,,,
475,05/02/21 08:00:00 AM,8.195,,,,
476,05/02/21 09:00:00 AM,8.195,,,,
477,05/02/21 10:00:00 AM,8.145,,,,
478,05/02/21 11:00:00 AM,8.145,,,,
479,05/02/21 12:00:00 PM,8.120,,,,
480,05/02/21 01:00:00 PM,8.120,,,,
481,05/02/21 02:00:00 PM,8.145,,,,
482,05/02/21 03:00:00 PM,8.245,,,,
483,05/02/21 04:00:00 PM,8.220,,,,
484,05/02/21 05:00:00 PM,8.295,,,,
485,05/02/21 06:00:00 PM,8.444,,,,
486,05/02/21 07:00:00 PM,8.693,,,,
487,05/02/21 08:00:00 PM,8.990,,,,
488,05/02/21 09:00:00 PM,9.040,,,,
489,05/02/21 10:00:00 PM,9.064,,,,
490,05/02/21 11:00:00 PM,9.089,,,,
491,05/03/21 12:00:00 AM,9.064,,,,
492,05/03/21 01:00:00 AM,9.064,,,,
493,05/03/21 02:00:00 AM,9.114,,,,
494,05/03/21 03:00:00 AM,9.114,,,,
495,05/03/21 04:00:00 AM,9.139,,,,
496,05/03/21 05:00:00 AM,9.114,,,,
497,05/03/21 06:00:00 AM,9.114,,,,
498,05/03/21 07:00:00 AM,9.089,,,,
499,05/03/21 08:00:00 AM,9.089,,,,
500,05/03/21 09:00:00 AM,9.040,,,,
501,05/03/21 10:00:00 AM,8.965,,,,
502,05/03/21 11:00:00 AM,8.941,,,,
503,05/03/21 12:00:00 PM,8.941,,,,
504,05/03/21 01:00:00 PM,8.965,,,,
505,05/03/21 02:00:00 PM,8.941,,,,
506,05/03/21 03:00:00 PM,8.941,,,,
507,05/03/21 04:00:00 PM,8.891,,,,
508,05/03/21 05:00:00 PM,8.841,,,,
509,05/03/21 06:00:00 PM,8.792,,,,
510,05/03/21 07:00:00 PM,8.792,,,,
511,05/03/21 08:00:00 PM,8.792,,,,
512,05/03/21 09:00:00 PM,8.767,,,,
513,05/03/21 10:00:00 PM,8.767,,,,
514,05/03/21 11:00:00 PM,8.767,,,,
515,05/04/21 12:00:00 AM,8.792,,,,
516,05/04/21 01:00:00 AM,8.817,,,,
517,05/04/21 02:00:00 AM,8.841,,,,
518,05/04/21 03:00:00 AM,8.841,,,,
519,05/04/21 04:00:00 AM,8.817,,,,
520,05/04/21 05:00:00 AM,8.817,,,,
521,05/04/21 06:00:00 AM,8.792,,,,
522,05/04/21 07:00:00 AM,8.742,,,,
523,05/04/21 08:00:00 AM,8.717,,,,
524,05/04/21 09:00:00 AM,8.717,,,,
525,05/04/21 10:00:00 AM,8.693,,,,
526,05/04/21 11:00:00 AM,8.693,,,,
527,05/04/21 12:00:00 PM,8.668,,,,
528,05/04/21 01:00:00 PM,8.643,,,,
529,05/04/21 02:00:00 PM,8.618,,,,
530,05/04/21 03:00:00 PM,8.618,,,,
531,05/04/21 04:00:00 PM,8.643,,,,
532,05/04/21 05:00:00 PM,8.693,,,,
533,05/04/21 06:00:00 PM,8.792,,,,
534,05/04/21 07:00:00 PM,8.841,,,,
535,05/04/21 08:00:00 PM,8.891,,,,
